Model, Scenario, Algorithm, Iteration, State, NumberOfParameters,TotalPossibleCombinations,NumberOfFaults,Overlap,SafeValue,Strength,ClassFScore,ClassPrecision,ClassRecall,ExecutionTime,FScore,NumInvalidTests,NumMultipleFaults,NumberOfResults,NumberOfTestCases,NumberOfUniqueTestCases,PctInvalidTests,PctMultipleFaults,Precision,Recall
Random1,S3,Aifl,0,COMPLETED,7,512,2,2,0,3,1,1,1,448,0.022099448,52,4,179,111,111,0.468468468,0.036036036,0.011173184,1
Random1,S3,IterAifl,0,COMPLETED,7,512,2,2,0,3,1,1,1,466,0.022099448,115,12,179,241,241,0.477178423,0.049792531,0.011173184,1
Random1,S3,FIC,0,COMPLETED,7,512,2,2,0,3,0.608695652,0.4375,1,435,0.8,78,9,3,132,115,0.590909091,0.068181818,0.666666667,1
Random1,S3,Csp,0,COMPLETED,7,512,2,2,0,3,1,1,1,765,1,19,0,2,44,44,0.431818182,0,1,1
Random1,S3,FIC_BS,0,COMPLETED,7,512,2,2,0,3,0.608695652,0.4375,1,437,0.8,83,2,3,148,126,0.560810811,0.013513514,0.666666667,1
Random1,S3,Ala,0,TIME_OUT,7,512,2,2,0,3,,,,,,,,,,,,,,
Random1,S3,IDD,0,COMPLETED,7,512,2,2,0,3,1,1,1,486,1,28,1,2,57,57,0.49122807,0.01754386,1,1
Random1,S3,Ben,0,COMPLETED,7,512,2,2,0,3,0.561403509,0.390243902,1,501,0.095238095,45,5,40,94,94,0.478723404,0.053191489,0.05,1
Random1,S3,Ict,0,COMPLETED,7,512,2,2,0,3,1,1,1,988,1,33,5,2,66,62,0.5,0.075757576,1,1
Random1,S3,Ipog,0,COMPLETED,7,512,2,2,0,3,0.178861789,1,0.098214286,462,0,19,0,11,44,44,0.431818182,0,0,0
Random1,S4,Aifl,0,COMPLETED,7,512,3,2,0,4,0.992084433,0.984293194,1,550,0.006335797,122,19,944,300,300,0.406666667,0.063333333,0.003177966,1
Random1,S4,IterAifl,0,COMPLETED,7,512,3,2,0,4,1,1,1,559,0.006342495,187,20,943,430,430,0.434883721,0.046511628,0.003181336,1
Random1,S4,FIC,0,COMPLETED,7,512,3,2,0,4,0.598726115,0.427272727,1,558,0.6,244,38,7,508,311,0.480314961,0.07480315,0.428571429,1
Random1,S4,Csp,0,COMPLETED,7,512,3,2,0,4,0.537142857,0.3671875,1,1610,0,40,4,2,108,108,0.37037037,0.037037037,0,0
Random1,S4,FIC_BS,0,COMPLETED,7,512,3,2,0,4,0.537142857,0.3671875,1,552,0.666666667,212,8,6,468,308,0.452991453,0.017094017,0.5,1
Random1,S4,Ala,0,TIME_OUT,7,512,3,2,0,4,,,,,,,,,,,,,,
Random1,S4,IDD,0,COMPLETED,7,512,3,2,0,4,0.74015748,0.5875,1,469,0.333333333,43,4,3,115,115,0.373913043,0.034782609,0.333333333,0.333333333
Random1,S4,Ben,0,COMPLETED,7,512,3,2,0,4,0.695009242,0.532577904,1,545,0.014251781,43,4,418,118,118,0.36440678,0.033898305,0.007177033,1
Random1,S4,Ict,0,COMPLETED,7,512,3,2,0,4,1,1,1,1823,1,51,4,3,112,111,0.455357143,0.035714286,1,1
Random1,S4,Ipog,0,COMPLETED,7,512,3,2,0,4,0.379310345,1,0.234042553,457,0,40,4,44,108,108,0.37037037,0.037037037,0,0
Random1,S5,Aifl,0,COMPLETED,7,512,3,4,0,4,0.992,0.984126984,1,484,0.046875,71,2,125,186,186,0.38172043,0.010752688,0.024,1
Random1,S5,IterAifl,0,COMPLETED,7,512,3,4,0,4,1,1,1,491,0.047244094,119,2,124,287,287,0.414634146,0.006968641,0.024193548,1
Random1,S5,FIC,0,COMPLETED,7,512,3,4,0,4,0.548672566,0.37804878,1,464,0.545454545,76,3,8,220,187,0.345454545,0.013636364,0.375,1
Random1,S5,Csp,0,COMPLETED,7,512,3,4,0,4,0.216027875,0.12109375,1,1559,0,40,0,2,108,108,0.37037037,0,0,0
Random1,S5,FIC_BS,0,COMPLETED,7,512,3,4,0,4,0.354285714,0.215277778,1,481,0.5,92,1,9,269,220,0.342007435,0.003717472,0.333333333,1
Random1,S5,Ala,0,TIME_OUT,7,512,3,4,0,4,,,,,,,,,,,,,,
Random1,S5,IDD,0,COMPLETED,7,512,3,4,0,4,0.784810127,0.645833333,1,465,0.333333333,45,0,3,123,123,0.365853659,0,0.333333333,0.333333333
Random1,S5,Ben,0,COMPLETED,7,512,3,4,0,4,0.518828452,0.350282486,1,503,0.113207547,52,2,50,148,148,0.351351351,0.013513514,0.06,1
Random1,S5,Ict,0,COMPLETED,7,512,3,4,0,4,0.680851064,1,0.516129032,1099,0.5,21,0,1,41,38,0.512195122,0,1,0.333333333
Random1,S5,Ipog,0,COMPLETED,7,512,3,4,0,4,0.368421053,1,0.225806452,465,0,40,0,14,108,108,0.37037037,0,0,0
Random1,S0,Aifl,0,COMPLETED,7,512,1,0,0,1,1,1,1,360,0.030769231,9,0,64,11,11,0.818181818,0,0.015625,1
Random1,S0,IterAifl,0,COMPLETED,7,512,1,0,0,1,1,1,1,361,0.030769231,22,0,64,33,33,0.666666667,0,0.015625,1
Random1,S0,FIC,0,COMPLETED,7,512,1,0,0,1,1,1,1,341,1,8,0,1,12,12,0.666666667,0,1,1
Random1,S0,Csp,0,COMPLETED,7,512,1,0,0,1,0.25,0.25,0.25,371,0,4,0,1,4,4,1,0,0,0
Random1,S0,FIC_BS,0,COMPLETED,7,512,1,0,0,1,1,1,1,352,1,7,0,1,10,9,0.7,0,1,1
Random1,S0,Ala,0,TIME_OUT,7,512,1,0,0,1,,,,,,,,,,,,,,
Random1,S0,IDD,0,COMPLETED,7,512,1,0,0,1,1,1,1,371,1,4,0,1,6,6,0.666666667,0,1,1
Random1,S0,Ben,0,COMPLETED,7,512,1,0,0,1,1,1,1,374,1,4,0,1,7,7,0.571428571,0,1,1
Random1,S0,Ict,0,COMPLETED,7,512,1,0,0,1,1,1,1,408,1,6,0,1,17,17,0.352941176,0,1,1
Random1,S0,Ipog,0,COMPLETED,7,512,1,0,0,1,0.015503876,1,0.0078125,358,0,4,0,1,4,4,1,0,0,0
Random1,S1,Aifl,0,COMPLETED,7,512,1,0,0,2,1,1,1,411,0.021505376,23,0,92,46,46,0.5,0,0.010869565,1
Random1,S1,IterAifl,0,COMPLETED,7,512,1,0,0,2,1,1,1,413,0.021505376,55,0,92,107,107,0.514018692,0,0.010869565,1
Random1,S1,FIC,0,COMPLETED,7,512,1,0,0,2,1,1,1,393,1,34,0,1,54,52,0.62962963,0,1,1
Random1,S1,Csp,0,COMPLETED,7,512,1,0,0,2,0.5,0.5,0.5,432,0,11,0,1,22,22,0.5,0,0,0
Random1,S1,FIC_BS,0,COMPLETED,7,512,1,0,0,2,1,1,1,383,1,33,0,1,58,57,0.568965517,0,1,1
Random1,S1,Ala,0,TIME_OUT,7,512,1,0,0,2,,,,,,,,,,,,,,
Random1,S1,IDD,0,COMPLETED,7,512,1,0,0,2,1,1,1,396,1,13,0,1,27,27,0.481481481,0,1,1
Random1,S1,Ben,0,COMPLETED,7,512,1,0,0,2,1,1,1,401,1,13,0,1,30,30,0.433333333,0,1,1
Random1,S1,Ict,0,COMPLETED,7,512,1,0,0,2,1,1,1,496,1,15,0,1,29,29,0.517241379,0,1,1
Random1,S1,Ipog,0,COMPLETED,7,512,1,0,0,2,0.117647059,1,0.0625,374,0,11,0,4,22,22,0.5,0,0,0
Random1,S2,Aifl,0,COMPLETED,7,512,2,0,0,3,1,1,1,453,0.007181329,52,5,555,132,132,0.393939394,0.037878788,0.003603604,1
